what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.view",1411618850750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618859781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618942359
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1411618951031
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1411618951047
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1411618951060
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618957321
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618962392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618963028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618967675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618968323
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618979537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411618981870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619072221
activated,perspective,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.perspective",1411619087241
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1411619087246
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1411619087255
executed,command,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.perspective",1411619087256
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1411619093508
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1411619099209
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1411619099255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619108022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619126975
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619138144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619140724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619142138
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619144423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619146378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619148354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619152680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619155065
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619157566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619160931
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619174458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619175775
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619179707
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619182648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619194585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619197496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619203496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619205225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619207729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619209566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619215441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619217962
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619219788
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619226478
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619230938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619231706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411619234464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411619235331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411619244367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619245886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619247190
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411619257855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619259765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619261136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619262188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619269028
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411619282069
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619283974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619298058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619305685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619307837
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411619314007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619316280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411619317937
