what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1411943552384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943554861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943554920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943557305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411943557334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943560188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943560222
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943561670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411943561699
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943563424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943563457
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943565112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411943565142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943566993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943567026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943569210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411943569239
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943571284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943571318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943572738
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411943572767
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943577831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943577864
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943579350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943579378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411943579434
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943580795
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943580816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943587331
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943591452
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1411943594067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943604364
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943771700
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1411943800949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943808442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1411943808490
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943809750
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943809768
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1411943920929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411943931031
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1411943932878
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943933180
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1411943951068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943953623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411943953656
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1411943955869
